Room ID,Room Code
001cde51eb56da3368e3e69e815ae292,Liberal Arts Hall (LBR)-3220
00365428e24c35b528fa8b2fa3db54a8,Frank E. Gannett (GAN)-1265
00906741e47b2156910eb3921076506b,Thomas Gosnell Hall (GOS)-3310
0101519b8b3746cdb4761906e19b99c8,Hale-Andrews Center (HAC)-1320
014313014b36cad01bd9b563d281100b,Golisano Hall (GOL)-2410
02501b199bc0d2f7ebc8ea5cd3243db1,Frank E. Gannett (GAN)-A151
025cf2ca5d4c3ccfbfde14da41a0ede6,James E Booth (BOO)-4631
028e5f4a7a3684f7476e63fecbcdc42b,James E Booth (BOO)-1912
02c0f5520c3c6aec53c3b3677199b500,Frank E. Gannett (GAN)-2274
02dc73e1194410c1b145e7185d74ae18,Thomas Gosnell Hall (GOS)-2154
031f2d1a113e3e98f3f655128d991efc,Dubai E-219
03752df70ff0111e6627524339fd0731,Engineering Hall (ENG)-2700
051ace6e00e1280c17be435395d0a7e5,James E Booth (BOO)-A345
0557aaca9576ec381a7dd8be71c335a0,James E Booth (BOO)-2554
05d767a0e96fdc860b3619be89c65dc4,Hale-Andrews Center (HAC)-A120
05d8e5c5874fb3b67964aa5a0f60b005,James E Booth (BOO)-3340
05f244ae059ea8a5b7d702755ad1d2ca,George Eastman Hall (EAS)-3319
0600107ad48e1af9b1a810a55709230d,Dubai D-214
0665709c836cef2397fc83784b12cd63,Hale-Andrews Center (HAC)-CT4
067cc5db3b45ae058c006661261d67b3,Carlson Ctr Imaging (CAR)-2155
068fca88ef73d1e1909879c7b8ba7341,James E Booth (BOO)-3630
0766c13549efcf323537f6f105dc940d,Monroe Hall (MON)-2000
07752147e5fcb144d5d15aed913be0a8,Wallace Library (WAL)-4640
07cafe1aee32fa5cbd6651e95625c604,Max Lowenthal Hall (LOW)-1125
089218f8d604fd695f6cda44151be869,Monroe Hall (MON)-2070
089e5c1696370a6d1f9c7f99a6a31fb9,Lyndon Johnson Hall (LBJ)-1710
09f3e5b6effe3ff6d10565c77c5e62e9,Thomas Gosnell Hall (GOS)-3000
0a265af2b4d46447c15f1a7916b6cd1c,James E Booth (BOO)-2530
0a91c7fcf88f2195d90bfee3ec40373b,Wallace Library (WAL)-A410
0af2cb0043e27227d85d7bd46b086ce9,Thomas Gosnell Hall (GOS)-1365
0af857dbe1a7891901ede0765a8883a4,MAGIC Spell Studios (MSS)-2060
0ba7d16ca50f3a3fa32cd7703cb6c09e,Frank E. Gannett (GAN)-4060
0bd86bc8b88df1a441ff5820292c0d34,Thomas Gosnell Hall (GOS)-3130
0bda5cff09204b75bfc5b8d203831e0f,Golisano Hall (GOL)-2730
0c4d50a093910e35d779432f608cf23b,Carlson Ctr Imaging (CAR)-2230
0cc60732d28b87a5a363586cd7e32c67,Dubai B-004
0d1a577229c741327d480e441a6558ce,James E Booth (BOO)-A315
0d3b8fab80e0e7e0912ef2aa0e2759c4,Golisano Hall (GOL)-1103
0d86621c2127f67163f66f2e23a43eb9,Wallace Library (WAL)-4600
0dabde18fe1c5ae611817c875c9ce675,Dubai D-113
0dda38d35df6cad5bf72d8666e450f4b,James E Gleason Hall(GLE)-3259
0e62013a3f0ce9245a7a4d9fc01e5252,James E Booth (BOO)-1315
0f230268ca2b52ae95e68916d45cd614,James E Booth (BOO)-4720
